,Course code,Course Name,Learning Objectives,Course Description and Topics,Assignment Descriptions,
,BAEN 549 (Angele),Innovation and Sustainability,"Evaluate and articulate the competitive advantage that sustainability offers, identify current market opportunities related to sustainability across various industries, recognize tools, concepts, standards, and frameworks used in sustainable business, and synthesize and apply sustainability knowledge to innovation strategies.​","Sustainable innovation involves making intentional and impact-driven decisions on strategies, processes, and products/services that generate social and environmental benefits, profitably. This course offers a critical view of how innovation truly happens, providing practical frameworks for designing and managing innovation sustainably. Students will engage in creative methods to map, navigate, and manage the tensions and trade-offs of corporate innovation. For-purpose business models, stakeholder-centered design methods, and systems thinking techniques are examined and applied through interactive exercises, cases, and class discussions. Guest speakers will inspire you to discover your management style and motivation for leading purpose-driven innovation initiatives. Topics include how innovation really happens, innovative mindsets and behaviors, social entrepreneurs and innovators, sustainable business models, case mapping framework, case analysis and mapping, innovation teams, B Corps, market-driven innovation, purpose-driven innovation, innovation process and roadmaps, business process notation tools, for-purpose case studies and business model canvas, impactful storytelling techniques, innovation KPIs, and the 3-factors measurement framework.","In-class activities, lecture responses, and mini-presentations will be conducted, along with the following assignments: Memo on Sustainability at Scale and Memo on Disruptive Sustainability. The final group project will also be a major component. Individual weekly reflection papers are a key part of the course, as journaling is a reflective thinking practice that allows students to reflect on personal learning experiences, record meaningful concepts, and develop an authentic voice. Each week, students will submit a one-page reflection highlighting two key takeaways from the assigned readings and weekly activities that are most relevant to their personal motivations and professional careers. Additionally, students will engage in individual (in pairs) case analysis, which is an exercise in analytical and critical thinking. Each pair will be assigned a sustainable business case to analyze and provide an insightful summary, which will be presented to peers for feedback and critique. The team innovation roadmap project will involve business process mapping as a powerful communication, operational, and strategic thinking tool for innovation managers and leaders. In project teams, students will select one of three business cases provided and co-create a sustainable business innovation roadmap, emphasizing human and interconnected systems and key decision-making inflection points. Participation is crucial in this highly interactive course, which includes a regular weekly workload. To succeed, students must attend each class and actively participate. This course requires a commitment to self-discovery and a positive, curious attitude. The participation grade is based on attendance and thoughtful contribution, which goes beyond simply raising hands. Contribution involves asking thoughtful questions, offering observations, and building upon classroom conversations. As this is a flipped-classroom course, students are expected to come prepared to discuss and engage in a respectful manner.​",
,BAEN 550 (Angele) - ,Fundamentals in Entrepreneurship,"Explore your own potential as both an entrepreneur and intrapreneur, understand key considerations, opportunities, and challenges faced by entrepreneurs and innovators, gain experience with common entrepreneurial methods, tools, and resources, and develop an initial plan for an innovative entrepreneurial venture.​","This hands-on, interactive course explores the entrepreneurial mindset and fundamentals of joining, forming, and building a successful startup. Students will learn how to identify desirable, feasible, and viable opportunities, experiment with, prototype, and test ideas, build a founding team, and develop marketing and financial strategies. The course offers insights from past and current startup founders, entrepreneurs, and intrapreneurs, with diverse sectors examined, including high tech, food, arts, science, and social ventures. In small startup teams, students will apply concepts such as ideation, experimentation, prototyping, and pitching for a real new venture. Topics covered include an introduction to entrepreneurship, entrepreneurial traits and types, idea generation, venture teaming, value proposition, hypothesis testing, customer discovery and relationships, key activities and resources, pitching, and business models.​","Individual Weekly Reflection Papers: Students will submit a one-page paper each week, highlighting two key takeaways from the assigned readings and weekly activities. These reflection papers will focus on course topics and discussions most relevant to their professional careers and future workplaces. Team Case Analysis: Students will identify a new venture and analyze the viability of its product or service and business model using the Business Model Canvas. Team Venture Project: Students will generate ideas, develop a new product or service prototype, and create a business model that is desirable, feasible, and viable. Participation: Students are expected to attend every class in person and actively engage in discussions. Participation is measured by asking thoughtful and respectful questions that reflect active listening and by contributing relevant content, such as prior experience, to class lectures and activities. The participation grade consists of attendance (40%) and an assessment by both the professor and TA of professionalism and class contribution (60%). Contribution involves more than just raising hands; it is about asking insightful questions, offering observations, and building upon classroom discussions. As a flipped-classroom course, students are expected to arrive prepared to engage in respectful interaction.",
,BAEN 550/FCOR 502 (Fraser Pogue),Fundamentals in Entrepreneurship,"Evaluate and articulate the competitive advantage that sustainability offers, identify current market opportunities related to sustainability across various industries, recognize tools, concepts, standards, and frameworks used in sustainable business, and synthesize and apply sustainability knowledge to innovation strategies.","This course introduces students to the fundamentals of innovation and entrepreneurship, with a focus on ‘entrepreneurial thinking’ and identifying viable venture opportunities. It is a standalone course that provides valuable concepts for all students, regardless of whether their interests lie in entrepreneurship, intrapreneurship, or entrepreneurial finance and investing. The course covers the key elements of starting a venture, including idea generation, customer discovery, business model design, prototyping, research, funding, company building, and commercialization. It also explores what investors seek in investable startups. While the emphasis is on innovation and technology startup ventures, the principles apply broadly to career opportunities such as starting a venture, joining an early-stage startup and helping it grow from a small team into a scalable organization, engaging in intrapreneurship or corporate innovation through disruptive initiatives in established organizations, and exploring startup financing through angel and venture capital.​","Case Memo: Real-life entrepreneurial cases are used in class for discussion and debriefs. Students are required to submit short two-page memos before each class. The memos should highlight the major problems in the case, propose three potential solutions, and recommend one solution with methods for implementation. Investor Memo: Students will be presented with investor-facing pitch decks from real startups seeking funding. Acting as ‘angel investors,’ students will prepare a short three-page memo using frameworks taught in class to evaluate the stages of the startups and determine which may be attractive for investment. Final Group Presentation: In groups of five, students will prepare an investor-facing pitch deck for a potential startup. Each group will present a pitch that highlights the venture’s problem being solved, potential solution, market opportunity, revenue model, and investor opportunity. Students are encouraged to choose an idea where they have deep experience and have identified market gaps, or to explore unique university-based research with market potential.",
,BAEN 580,Topics in Entrepreneurship,"Manage decision-making with incomplete and ambiguous information, develop hypotheses about customer problems and design tests to inform decision-making and specify design criteria, approach early-stage financing of pre-revenue ventures and evaluate investable startup opportunities, make decisions in case studies, simulations, and live discussions as new information is revealed, connect and apply entrepreneurial thinking in both corporate innovation roles and startups, and link course learning to personal career planning.​","This course introduces students to the fundamentals of innovation and entrepreneurship, focusing on ‘entrepreneurial thinking’ and identifying viable venture opportunities. It is a standalone course that offers valuable concepts for students with diverse interests, including entrepreneurship, intrapreneurship, and entrepreneurial finance/investing. The course covers the key elements of starting a venture, from idea generation and customer discovery to business model design, prototyping, research, funding, company building, and commercialization. It also explores what investors seek in investable startups. While the primary focus is on innovation and technology startup ventures, the principles apply broadly to career opportunities such as starting a venture, joining an early-stage startup and helping it grow into a scalable organization with specialist roles and varied teams, intrapreneurship or corporate innovation through disruptive initiatives in established organizations, and startup financing through angel or venture capital.​","Case Memo: Real-life entrepreneurial cases are used in class for discussion and debriefs. Students are required to submit two-page memos before each class, highlighting the major problems in the case, proposing three potential solutions, and recommending one solution with methods for implementation. Investor Memo: Students will be presented with investor-facing pitch decks from real startups seeking funding. Acting as angel investors, students will prepare a three-page memo using various frameworks taught in class to identify the stages of the startups and determine which may be attractive for investment. Final Group Presentation: In groups of five, students will prepare an investor-facing pitch deck for a potential startup. Each group will present a pitch that highlights the venture’s problem being solved, potential solution, market opportunity, revenue model, and investor opportunity. Students are encouraged to select an idea where they have deep experience and have identified gaps in the marketplace, or to explore unique university-based research with market potential.",
,BAEN 580A,Topics in Entrepreneurship - INDIG CLIM ECON,"Demonstrate a strong appreciation for the historical, legal, cultural, and political contexts that make engagement with Indigenous communities both challenging and necessary. Identify how the private sector can play an important role in promoting economic reconciliation with Indigenous peoples in Canada. Understand the leadership attributes and cultural grounding that can support successful and enduring economic partnerships with Indigenous communities.​","Climate change is the defining global challenge of the 21st century. It requires businesses, households, and governments to respond through carbon emissions mitigation and adaptation to a changing environment. Governments are developing numerous economic policy interventions to facilitate both mitigation and adaptation, while businesses are responding by reducing their carbon footprint and developing new solutions. Climate change has also created novel markets for climate solutions, with renewable energy sources leading the way, as displacing fossil fuels is critical to achieving climate action goals. Decarbonization across various sectors poses additional challenges and opportunities. This course examines how economic principles shape environmental policy and market solutions for climate change. The first part of the course focuses on government climate policy, while the second part addresses solutions and markets emerging in response to climate change. Key questions addressed in the course include: How does climate science inform climate economics, climate policies, and resource allocation between mitigation and adaptation? How do different climate policies compare across various metrics, and what trade-offs do governments consider when designing these policies? How do policy instruments affect businesses, particularly in the context of international trade, and what is their optimal response? What are the economic challenges in developing renewable energy sources, displacing fossil fuels, and integrating renewable energy into electricity grids, especially as electrification of mobility increases? What are specific climate solutions for industrial sectors like electric utilities, oil and gas, transportation, and emission-intensive producers like steel and cement? Which economic forces will drive innovation, and what novel technologies (such as hydrogen, electricity storage, and carbon capture) are on the horizon to overcome major obstacles? How do businesses, from small local firms to large multinational corporations, adapt their strategies and business models in response to climate change?","Identify the specific economic effects of climate change on businesses and households, while recognizing the heterogeneity of these effects across regions and countries. Discuss the economic and environmental balance between climate mitigation and adaptation. Understand the principles of economic policy as applied to climate change, particularly the differences between voluntary, mandated, and market-based approaches. Describe the different effects of emissions taxes, emission permit trading, subsidies, and hybrid policy instruments. Acquire specific economic decision-making tools such as cost-benefit analysis and life-cycle analysis. Appreciate the global context of climate change, recognizing the challenges posed by international trade (carbon leakage) and the opportunities it presents (new markets). Appraise the economic issues related to electricity generation from renewable energy sources, including effects on transmission infrastructure and demand management. Understand how the automotive industry is evolving through the transition to electric vehicles and the development of related charging infrastructure. Learn about climate solutions in emission-intensive sectors like oil and gas production, steel, and cement, as well as in households through heating and cooling. Engage effectively in rigorous, science-based discussions about environmental policy related to climate change.",
,BAEN 580C,Topics in Entrepreneurship - IMPACT INVESTING,Apply market discovery techniques to identify and validate market opportunities. Collect and analyze data to evaluate market attractiveness and potential. Collect and analyze data to guide product design decisions. Evaluate factors that influence the adoption and diffusion of new products. Apply concept testing techniques to develop sales forecasts and make launch decisions. Apply stage gates and project planning frameworks to manage the development process.​,"Environment, social and governance (ESG) accounting, reporting and disclosure has become a business focal point. Boards, leaders, investors, regulators, NGOs, consumers and the broader public are looking to ESG information to understand business risk, enhance enterprise value, examine impact, and make sound operational, strategic and investment decisions. This course provides a comprehensive overview of ESG accounting and reporting, covering core topics including materiality, popular reporting frameworks and standards, the regulatory environment, target-setting, GHG accounting, and also highlight ESG in industries key to the Canadian context; financial institutions, extractive industries and consumer goods. Throughout the course, we will examine these topics from the internal (management and board), external (investors and regulators) and public perspective. Environment, social and governance (ESG) accounting, reporting and disclosure has become a business focal point. Boards, leaders, investors, regulators, NGOs, consumers and the broader public are looking to ESG information to understand business risk, enhance enterprise value, examine impact, and make sound operational, strategic and investment decisions. This course provides a comprehensive overview of ESG accounting and reporting, covering core topics including materiality, popular reporting frameworks and standards, the regulatory environment, target- setting, GHG accounting, and also highlight ESG in industries key to the Canadian context; financial institutions, extractive industries and consumer goods. Throughout the course, we will examine these topics from the internal (management and board), external (investors and regulators) and public perspective.","Impact Sector Brief, Investment Project, Investment Project Presentation. Participation, attendance, and preparedness (20%): Your mark for this portion will be based on your willingness to participate and the quality of your contributions during the various opportunities to engage with the subject matter. Since the material is challenging, actively participating in discussions enhances the learning experience for both you and your peers. The 20% requires consistent attendance and engagement in each class, avoiding distractions from cell phones and non-course related browsing. At times, this engagement will include time-sensitive, section-specific submissions into Canvas, such as in-class quizzes or surveys during class. Peer assessments will contribute 10% of the grade. Discussion board (10%): Articles, cases, and press releases will be shared weekly (2% x 5 weeks). You will have the option to either ask a question or respond to your peer’s questions. Participation should be insightful, apply course concepts, and encourage critical thinking and further research. Midterm exam (20%): The exam will include both quantitative and qualitative problems to be completed within a specified time period. It may consist of multiple choice, short answer questions, and short case studies. Responses will be evaluated based on the student’s ability to communicate professionally, correctly apply fundamental concepts and principles, and formulate reasonable and practical solutions to the problems. The midterm exam will be delivered in person via Canvas and Respondus Lockdown Browser.​",
,BASM 516,Economics and Strategy of Innovation,Analyze the underlying economic forces that drive new revenue growth and create entrepreneurial opportunities. Design competitive strategies for introducing innovations into markets. Recognize disruptive innovation and understand the threats and opportunities it presents.​,"Having the capacity to innovate is critical to business success. This course builds on the fundamentals of economics and strategic management that you have learnt in previous courses and explores new concepts that will enable you to excel in innovation. There will be an emphasis on innovation-driven entrepreneurial enterprises: those ventures that have potential for high revenue growth and that are increasingly important in today’s knowledge economy. We will study the opportunities associated with disrupting existing market environments, and the internal challenges of building new organisational capabilities. We will also examine innovation in established firms. The course involves extensive classroom discussions of business case studies to understand the application of theory and to develop critical thinking skills; as well as experiential learning methods such as simulations.","Case Memos: There will be five case studies (one per week), each worth 4% of the final grade. Before each class, you are required to read the case and answer the study questions posted on Canvas. Each assignment should be 1-2 pages (excluding the cover page), in size 11 font, single-spaced, and uploaded to Canvas before class. Unlike previous courses, the case memos should simply respond to the posted questions rather than provide a full analysis with problem statements or options. Information on how to access the course package will be provided via Canvas under “Learning Materials.” Simulations: You will participate in four strategic innovation simulations developed by Harvard Business School: Food Truck Challenge, Crossing the Chasm, Breaking News, and Back Bay Battery. These simulations will be done in groups. The first three simulations are worth 3.3% each (totaling 10% of the final grade), and the Back Bay Battery simulation is worth 5%. New Venture Simulation: The Food Truck Challenge: In this online simulation, you will run a food truck in Boomtown. Your goal is to maximize revenue over five simulated weeks and win the “Food Truck Challenge.” You will make decisions about where to park and which menu items to offer to find the best combination for the highest sales. You must analyze market data and decide whether to scale up immediately, conduct further research, or experiment with a low-capacity pushcart. Crossing the Chasm: You will play the role of co-founder and CEO of a self-driving vehicle technology firm. The goal is to achieve exponential growth with a disruptive technology, taking it from early success with adopters to mainstream market adoption. This marketing innovation simulation highlights the challenges of growing disruptive innovations. Breaking News: You will manage the innovation process for a struggling newspaper. With limited time and budget, you must develop new ideas to address declining sales, subscriptions, and web traffic. You’ll need to prioritize innovation ideas, evaluate and test them, and submit the best possible strategy to the CEO. This simulation emphasizes the trade-offs between different types of innovation within an organization. Back Bay Battery: As part of the management team of a battery manufacturer, you will determine the appropriate R&D expenditure levels for both the existing Absorbed Glass Mat (AGM) technology and a new supercapacitor (SC) energy storage technology. You must formulate and adapt your strategy in response to a dynamic marketplace. Success in this simulation depends on analyzing critical data and making informed decisions in an uncertain environment.​",
,BA 560,Ethics and Sustainability,"Evaluate and articulate the competitive advantage that sustainability offers. Identify leadership challenges and innovation opportunities related to sustainability across various industries. Navigate complex decision-making contexts and ethically challenging scenarios. Recognize tools, concepts, standards, and frameworks used in sustainable business. Synthesize and apply sustainability knowledge to leadership strategies.​","This course examines trends in sustainability that are shaping the future of business, government, and society. Using a variety of conceptual frameworks, students will understand the challenges and opportunities that sustainability presents and how to play a leadership role in navigating these issues. Social sustainability and ethical issues around responsible business, inequality, racial justice, and decolonization are also discussed. Students will learn how to manage the complexity of sustainability, identify how it motivates different stakeholders, and be exposed to frameworks that foster leadership and innovative thinking. Completing the course will leave students equipped with the tools to effectively apply sustainable thinking and leadership skills to a wide variety of professional opportunities.","Memo: Decision Traps and the Climate Crisis: This assignment focuses on how decision-making traps affect a manager’s ability to navigate the climate crisis. You are expected to apply at least three identified decision-making traps to a corporate environment, ideally one you’re familiar with, such as a previous job or employer. The memo should be one page, single-spaced, and include an analysis of each trap, how it manifests in management, and strategies to avoid them. Background research and citations are encouraged. An additional one-page appendix and space for references are allowed. Memo: Sustainability at Scale: This assignment requires students to describe a large-scale sustainability initiative adopted by a major organization (e.g., Nike, Nestle, IKEA). The initiative must have a well-established product-market fit with no technology risk. The one-page, single-spaced memo should summarize the initiative, identify the problem it addresses, and present a strong business case for its value. Significant background research is expected, avoiding reliance on press releases or corporate reports. The memo should adhere to professional business memo standards, including clear headings, professional formatting, and selective use of visuals. An additional one-page appendix and space for references are allowed. Memo: Disruptive Sustainability: In this assignment, students will identify a sustainability innovation with massive disruptive potential, whether it’s a technology, business model, or social movement that could dramatically change the status quo. The innovation may still be in its early stages, with risks and uncertainties. The memo should thoroughly describe the innovation and provide analysis based on available research. The one-page, single-spaced memo may require creative research approaches to validate claims, given the early-stage nature of the innovation. An additional one-page appendix and space for references are allowed. Final Group Project Memos: These three memos together make up 30% of the grade, with each memo worth 10%.​",
,BA 562,Creativity,"Evaluate and cultivate creativity in oneself and others to strategically advance a collective creative culture. Analyze the factors that either hinder or enhance creative problem-solving during collaborative ventures. Synthesize principles of observation, systems-thinking, design, and storytelling to address and overcome complex, large-scale creative challenges. Design and implement hands-on creativity tools and collaborative processes to enhance group creativity. Construct a comprehensive understanding of your own creative potential, discovering methods to harness, articulate, and promote it.​","Creativity is a core leadership skill that differentiates a great leader from a good one. Creative leaders have the ability to innovate, problem-solve and generate new ideas (independently and collectively) that inspire change and action. Creativity is often misunderstood as an inherent talent, when in fact, it is a discipline that can be learned and sharpened. Creativity involves a process of turning new, imaginative ideas into reality, and requires persistent and deliberate practice. This five-day intensive course will challenge you to develop (or reclaim) your professional creative confidence. Through a combination of lectures, podcasts, videos, and immersive in-class activities, you will learn to see business problems and opportunities in new ways and develop solutions unseen and unimagined by others. This foundational course provides you with key principles, prompts and practices to foster individual creativity and ways to apply them in teams and in business. As managers and future leaders, discover how creativity is a force for important and impactful change. ","Portfolio (Analysis & Reflection), Group Project (Innovation). Individual Reflections on Creativity Tests (3 @ 5% = 15%): Students will engage in in-class creativity tests as a measure of their personal evolution with creative thinking practice. After each test, students will submit short personal reflections. Details are available in the Canvas Assignments section. Individual (Pairs) Business Case as Comic Book (30%): Working in pairs, students will analyze and synthesize a business case and communicate their analysis as a comic book strip on poster-size paper. This exercise encourages students to think visually, associate insights creatively, and convey case elements along with their own strategies. Details can be found in the Canvas Assignments section. Team-based Creative Collaborative Project (30%): Students will participate in a group ‘creative collaboration’ project, also known as an innovation hackathon. The innovation challenge will be introduced on Day 4, and student teams will have 24 hours to propose creative solutions and present them in a pitch. Presentations will be evaluated based on the quality, originality, and viability of the ideas. See Canvas Assignments for more details. Individual Course Reflection (10%): Students will submit a two-page (maximum 800 words) personal reflection paper in PDF format. This final reflection must include three key takeaways from the course learning experience, supported by personally generated images, charts, or sketches (no cover page required). Grading will be based on how well the key takeaways are articulated, personal introspection, connections drawn between takeaways, and their relevance to the student’s creative potential. See Canvas Assignments for additional details.​",
UBC Courses,COMR 280,Entrepreneurship,"Recognize key considerations, opportunities, and challenges for entrepreneurs. Differentiate and experiment with core entrepreneurial processes, tools, and resources. Discover their own potential as an entrepreneur. Organize and construct a preliminary outline of what a personal entrepreneurial venture might look like.",,"E-Portfolio. Early content review. Mid-term progress submission. Final submission. Idea Showcase. Key Concept Tests. Participation: Attendance, Discussion Board Idea Logs",
,IGEN 340,Technology Entrepreneurship,"Explore your own potential as an entrepreneur and intrapreneur. Understand key considerations, opportunities and challenges for entrepreneurs and innovators. Gain experience with common entrepreneurial methods, tools and resources. Develop an initial plan for an innovative entrepreneurial venture.","Intro to Entrepreneurship, Entrepreneurial Traits and Types, Venture Teaming, Value Proposition, Proposition Testing, Customer Discovery, Customer Relationships, Key Activities, Key Resources, Key Partners, Financial Models, Business Models, The Art of Storytelling ","Individual Reflection Paper: Journaling is an important activity to reflect on personal learning experiences, record meaningful concepts and develop your genuine voice. Students will provide a short post/paper highlighting one (1) key takeaway from the assigned reading(s) and/or weekly in-class activities. Individual Key Concepts Test: The two key concept assessments are tests based on content taken directly from in-class discussion, the readings, the class slides, guest speaker content and any additional required reading assigned.  Questions will NOT come from optional reading. Team Project Prototypes: Prototyping is a core and critical concept for entrepreneurs. Prototyping involves experimenting with rough concepts and translating them into tangible outputs for feedback and testing. Students will form small startup teams (3-5) based on aligned/interested problem>idea spaces. Startup teams will generate prototypes (draft outputs): customer personas, product/service prototypes and business model canvas. The prototypes will be iterated, refined and integrated into the final group project. Team/Group Final Project: Successful entrepreneurs/intrapreneurs are storytellers. Startup student teams will summarize and synthesize their Startup journey of hypotheses pivots, simple market research insights, product/service prototype feedback, and high-level financial and go to market plan. The teams will follow the marketdriven innovation process and will present their Startup story: comprised of an elevator pitch, product/service idea and associated business model. Group project proposals and presentations will be judged on their market desirability, resource feasibility and financial viability.  ",
,APSC 383,Prototyping,"understand the broader definition, forms and applicability of prototyping. employ rudimentary visual communication methods to convey your thinking visually. develop basic abilities in a range of CAD software tools to create 2D and/or 3D, static and/or moving prototype models. recognize and make use of common electronics components used in prototyping applications. create prototypes at different stages of project development and complexity that can be customer tested to a range of stakeholders. create appropriate data gathering and evaluation tools for gathering information about prototype
performance.",,"CAD, Sketching, Software/Validation, Structured Workshop Session, Hardware, Materials-Processes",
,BMEG 401,Economics of Healthcare Solutions,how healthcare adopts biomedical solutions and products to build all elements of a commercialization plan from the perspective of a new venture. how funding sources evaluate biomedical healthcare solution commercialization plans. how and why to consider people impacts and societal and environment sustainability in a commercialization plan.,,Individual: People impacts and sustainability for a biomedical device. Individual: Evaluating a commercialization plan. Team project: Commercialization plan presentation and deliverable.,
,CPSE 436E,CPSC 436E Topics in Computer Science - ENTREPRENEURSHIP,, ,,
,APSC 440,Management Fundamentals for Technology-Based Product Marketing and Development ,Explain and analyze the following topics Ideation. Customer Segmentation. Project Management. Market Opportunity. Product Development. Ecosystem Mapping. Go To Market Plan. Quality Control & Quality Assurance,,"Group Opportunity Memo. Final Group Presentation. Midterm exam 1. Midterm exam 2
",
,DES 445,Entrepreneurship and Ethics in Design,Define a code of ethics and explain how entrepreneurial designers can creative positive change in the world. Apply established design thinking methods as well as emergent liberatory design models to develop entrepreneurial endeavours. Collaborate with a team to develop and pitch an ethical venture from initial concept through implementation. ,,Preparation (quizzes on readings and media). Presentations (midterm and final). Collaborative Term Project. Collaborative Assignments ,
,ENPH 459 & 479,Engineering Physics Project II,,,"Project selection, assigment, kickoff, Project assignment project planning with sponsor, proposal, Project execution, presentations, Posters, Project fair, Final report, logbooks",
,ENPH 481,Entrepreneurial Projects I,,,,
,APSC 486,New Venture Design,"Apply the essential components of planning a new start-up, including: Recognizing viable market opportunities. Create and analyze market assessment - secondary market research and customer discovery - primary market research. Develop profitable business model and an executable business plan. Protecting the intellectual property at the heart of their technology company. Developing financial projections that are aligned with the fundamentals of the proposed business plan. Designing and building a prototype product. To work with students across disciplines, integrate creative business strategies with solid engineering and work effectively in multi-disciplinary teams. To make decisions in highly uncertain and unstructured environments, gather feedback from a large variety of sources to test assumptions, and ‘pivot’ to find alternative ideas or approaches that will improve the business model. To pitch their product, strategy and team to experienced entrepreneurs and investors",,"Personal Profile (individual), Idea Pitch (individual), Three Lead Idea Presentation (group), Customer Discovery Report (group), Lead Idea Presentation (group), Term 1 Reflection (individual), Technical & Product Plan (group), Customer Creation Validation (group), Final Presentation (group), Final Prototype (group), Term 2 Reflection ",
,FCOR 502,Entrepreneurship,"•	Understand the fundamental concepts, theories, principles, and practices employed in the field of innovation and entrepreneurship and the role that entrepreneurship plays in the global economy and society 
•	Develop an understanding of the entrepreneurial process, the activities inherent in the process, and the related challenges and opportunities  
•	Distinguish between ideas and viable opportunities using various thinking frameworks such as the Lean Startup (business model canvas) and the Design Thinking Frameworks 
•	Examine the intrapreneurship perspective on how to harness the power of innovation that exists in every organization  
•	Articulate the value of innovation and entrepreneurship for their careers  ",,"
Group Project (Final Presentation) 

Individual Assignment (investment Memo) 

",
,APSC 540,Entrepreneurial Thinking for Applied Scientists,"Understand and apply the essential components of planning a new start-up, including recognizing viable market opportunities and conducting customer discovery through primary market research. Explore various business models suitable for your technology-based venture and demonstrate the presentation and communication skills necessary for pitching your plan. Gain an introduction to basic start-up language and concepts. Improve creative thinking and problem-solving skills in uncertain and unstructured environments, which are typical for start-ups.​","This course is designed to develop an understanding of the basic concepts of entrepreneurship, along with the research, analysis, skills, and resources needed for a successful startup. It offers hands-on experience in creating, developing, and communicating a new venture concept, aiming to improve the chances of success when starting and building a new venture. Tailored for graduate students in Applied Science, this course is ideal for those considering entrepreneurship, either in a startup or a corporate setting, and is also beneficial for individuals who expect to interact with entrepreneurs in their careers. The course provides an experience-based exposure to the entrepreneurial process, addressing the real-world challenges faced by aspiring entrepreneurs. Topics include developing business models, strategies for innovative products, and resource acquisition. Emphasis is placed on applying concepts and techniques from various functional areas within the context of new venture development. The course structure includes a combination of lectures, case study discussions, and small group exercises. A key focus is providing students with the opportunity to explore potential markets and business models that might stem from their applied science research or graduate studies.​","Interview Write-Up: Each student (or pair) will develop a business idea, identify key assumptions, and create hypotheses critical to the venture’s success. Students must conduct a series of relevant interviews to validate these assumptions, and the write-up will synthesize the findings from these interviews. Business Model Canvas: Students will complete the business model canvas, considering three different market segments. They will select and justify one segment to use for the rest of the term. Final Report: This will be a detailed report of the proposed venture, including all components covered in class, as well as a discussion of risks and mitigation strategies. Final Pitch: Each student will deliver a 3-minute pitch of their business idea to the class. Students will also submit their pitch deck for grading. Class Participation: As this course is discussion-based, active participation is crucial. Students must come prepared to discuss the day’s case and readings and respond to others’ ideas and comments. Interactions should be informative, well-reasoned, and respectful—there are no bystanders in this class.​",
,APSC 541,Technology Entrepreneurship for Engineers,,,,
,BAPA 580,Climate Economics and Markets,"Identify the specific economic effects of climate change on businesses and households, and the heterogeneity of effects across regions and countries. Discuss the economic and environmental balance between climate mitigation and climate adaptation. Understand principles of economic policy applied to climate change—in particular the differences between voluntary, mandated, and market-based approaches and describe the different effects of emissions taxes, emission permit trading, subsidies, and hybrid policy instruments.Acquire specific economic decision-making tools such as cost-benefit analysis and life-cycle analysis.Appreciate the global context of climate change and how international trade poses challenges (carbon leakage) as well as opportunities (new markets). Appraise the economic issues concerning electricity generation from renewable energy sources, effects on transmission infrastructure and demand management. Understand how the automotive industry will change through the transition to electric vehicles and the related charging infrastructure. Learn about climate solutions in emission-intensive industrial sectors (e.g., oil&gas production, steel, cement) as well as households (heating, cooling). Engage effectively in rigorous science-based discussions about environmental policy pertaining to climate change.",,"Essay: Climate Action Company Report , Team Project: In-Class Presentations",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
